Маршрут,Порядок,Город,Адрес,Подъезды,lat,lon
22,15,Липецк,Индустриальная 3А,1,52.5904782,39.5647912
22,16,Липецк,Индустриальная 4,4,52.591481,39.563983
22,17,Липецк,Депутатская 56,2,52.5913748,39.5681947
22,18,Липецк,Киевская 34,2,52.5920496,39.5707492
22,19,Липецк,Киевская 36,1,52.5920695,39.5713563
22,20,Липецк,Депутатская 53А,4,52.5915313,39.571249
22,21,Липецк,Депутатская 51А,4,52.5913703,39.5722442
22,22,Липецк,Киевская 41,4,52.5923527,39.5730968
22,23,Липецк,Механизаторов 19А,1,52.5840484,39.5682233
22,24,Липецк,Механизаторов 19,1,52.5837815,39.5677438
22,25,Липецк,Механизаторов 19Б,1,52.5833691,39.5685665
22,26,Липецк,Механизаторов 17,2,52.5846145,39.5660612
23,1,Липецк,Космонавтов 5 6,1,52.6163538,39.5745853
23,2,Липецк,Космонавтов 5 5,1,52.6165608,39.5748694
23,3,Липецк,Космонавтов 5 4,1,52.6163292,39.5752392
23,4,Липецк,Космонавтов 16,3,52.6175726,39.5752452
23,5,Липецк,Космонавтов 18,3,52.6175459,39.5744598
23,6,Липецк,Космонавтов 20,3,52.6175016,39.5735579
23,7,Липецк,Космонавтов 22,3,52.6176719,39.5727478
23,8,Липецк,Космонавтов 24,3,52.6174013,39.5718735
23,9,Липецк,Космонавтов 26,3,52.6173749,39.5714872
23,10,Липецк,Валентины Терешковой 17,4,52.6143854,39.5732386
23,11,Липецк,Валентины Терешковой 19,2,52.6146471,39.574089
23,12,Липецк,Валентины Терешковой 27,2,52.6129598,39.5738004
23,13,Липецк,Валентины Терешковой 29,1,52.6128084,39.5741861
23,14,Липецк,Циолковского 38,1,52.6101173,39.571236
23,15,Липецк,Валентины Терешковой 42,1,52.6088479,39.5720754
23,16,Липецк,Игнатьева 41,2,52.6145176,39.5778302
23,17,Липецк,Игнатьева 39,2,52.6149739,39.5781413
23,18,Липецк,Военный городок 1 196,2,52.6159617,39.5778698
23,19,Липецк,Военный городок 20,1,52.6159617,39.5778698
23,20,Липецк,Космонавтов 5/1,4,52.6166442,39.5775903
23,21,Липецк,Космонавтов 5 2,4,52.6155479,39.5771535
23,22,Липецк,Космонавтов 14,4,52.6173184,39.5762062
23,23,Липецк,Космонавтов 14 2,4,52.6178461,39.5764412
23,24,Липецк,Гагарина 77А,1,52.6206514,39.5766769
23,25,Липецк,Гагарина 2,3,52.6203177,39.5747505
23,26,Липецк,Гагарина 97,1,52.6226473,39.570186
23,27,Липецк,Гагарина 101,1,52.6222983,39.569073
24,1,Липецк,А.Г. Стаханова 65,1,52.5771379,39.5123594
24,2,Липецк,Коцаря С.Л. 10,2,52.5764037,39.5141051
24,3,Липецк,А.Г. Стаханова 69,3,52.5747239,39.5122351
24,4,Липецк,А.Г. Стаханова 58,12,52.5751116,39.5104912
24,5,Липецк,А.Г. Стаханова 56,1,52.5759636,39.5101209
24,6,Липецк,А.Г. Стаханова 2,7,52.5765399,39.5096199
24,7,Липецк,А.Г. Стаханова 56/2,1,52.5765399,39.5096199
24,8,Липецк,А.Г. Стаханова 61,4,52.5789764,39.5130225
25,1,Липецк,Космонавтов 29,8,52.6141229,39.5575986
25,2,Липецк,Космонавтов 29 3,2,52.6134149,39.5580238
25,3,Липецк,Космонавтов 31 3,6,52.6130581,39.5574297
25,4,Липецк,Космонавтов 33 2,2,52.6127999,39.5570213
25,5,Липецк,Космонавтов 33 3,2,52.6125487,39.5566068
25,6,Липецк,Космонавтов 33 4,4,52.6124167,39.5559343
25,7,Липецк,Космонавтов 33,6,52.6132477,39.5556664
25,8,Липецк,Космонавтов 31,8,52.6136235,39.5565941
25,9,Липецк,Космонавтов 29 4,4,52.6131464,39.558706
25,10,Липецк,Космонавтов 25 5,2,52.6138418,39.5588378
25,11,Липецк,Космонавтов 25 4,2,52.6140981,39.5593196
25,12,Липецк,Космонавтов 25 3,2,52.6141412,39.5600149
25,13,Липецк,Космонавтов 25,6,52.6147663,39.5597928
25,14,Липецк,Космонавтов 23,1,52.6152309,39.5595976
25,15,Липецк,Космонавтов 21,1,52.6154845,39.5597546
25,16,Липецк,Космонавтов 48 1,4,52.6167736,39.5597577
25,17,Липецк,Космонавтов 48 2,3,52.6172987,39.5593892
25,18,Липецк,Космонавтов 50,4,52.6167792,39.5589842
25,19,Липецк,Космонавтов 46 1,3,52.6168261,39.5604957
25,20,Липецк,Космонавтов 46 2,4,52.6174235,39.5607567
25,21,Липецк,Космонавтов 25 1,2,52.6145524,39.5609186
25,22,Липецк,Космонавтов 25 2,2,52.6141788,39.5606841
25,23,Липецк,Циолковского 15,1,52.6117238,39.5586072
25,24,Липецк,Циолковского 13,1,52.6115872,39.5577173
25,25,Липецк,Космонавтов 64 1,1,52.6133834,39.553058
25,26,Липецк,Космонавтов 64 2,1,52.6131479,39.552762
25,27,Липецк,Космонавтов 58,4,52.6162425,39.5541046
25,28,Липецк,Космонавтов 58 2,4,52.6170802,39.5539153
25,29,Липецк,Космонавтов 58 3,4,52.6170528,39.5532449
25,30,Липецк,Космонавтов 56 2,4,52.6170597,39.5546118
25,31,Липецк,Космонавтов 56 3,4,52.6170927,39.5552396
26,1,Липецк,А.Г. Стаханова 13,1,52.5936611,39.5337195
26,2,Липецк,А.Г. Стаханова 11,1,52.593598,39.5341905
26,3,Липецк,А.Г. Стаханова 9,3,52.5935655,39.5353742
26,4,Липецк,А.Г. Стаханова 5,4,52.5942823,39.5362359
26,5,Липецк,А.Г. Стаханова 3,7,52.5947111,39.5352861
26,6,Липецк,А.Г. Стаханова 4,3,52.5953197,39.5338137
26,7,Липецк,А.Г. Стаханова 6,3,52.5949493,39.533084
26,8,Липецк,А.Г. Стаханова 8,7,52.5939427,39.531773
26,9,Липецк,А.Г. Стаханова 10,4,52.5941545,39.5304029
26,10,Липецк,А.Г. Стаханова 12,5,52.5946718,39.5295177
26,11,Липецк,А.Г. Стаханова 14,3,52.5952772,39.5300312
26,12,Липецк,А.Г. Стаханова 16,3,52.5953608,39.5290729
26,13,Липецк,П.И.Смородина 14,13,52.5921613,39.5359145
26,14,Липецк,П.И.Смородина 10,6,52.5921384,39.5367301
26,15,Липецк,П.И.Смородина 6,7,52.5917688,39.5383897
26,16,Липецк,15-й микрорайон 25,6,52.5972206,39.5393316
27,1,Липецк,Московская 99,4,52.6018471,39.5187712
27,2,Липецк,Московская 101,2,52.6014633,39.5180468
27,3,Липецк,Московская 105,5,52.6011964,39.51685
27,4,Липецк,Московская 103,8,52.6018993,39.5166768
27,5,Липецк,Московская 93,4,52.6026342,39.5195641
27,6,Липецк,Московская 91,8,52.6033286,39.5194039
27,7,Липецк,Московская 89,3,52.6025205,39.5206985
27,8,Липецк,Московская 87,3,52.6025019,39.521625
28,1,Липецк,А.Г. Стаханова 44,6,52.5830287,39.5153861
28,2,Липецк,А.Г. Стаханова 50,2,52.5824224,39.5144401
28,3,Липецк,А.Г. Стаханова 52,1,52.5821409,39.513898
28,4,Липецк,Героя России Эдуарда Белана 13,3,52.5824496,39.5132519
28,5,Липецк,Героя России Эдуарда Белана 11,2,52.5828871,39.5126405
28,6,Липецк,А.Г. Стаханова 48,3,52.5834123,39.5132987
28,7,Липецк,А.Г. Стаханова 46,4,52.583423,39.5141182
28,8,Липецк,Хорошавина 9,3,52.5847985,39.5138174
28,9,Липецк,Хорошавина 8,2,52.5852662,39.5146984
28,10,Липецк,Хорошавина 6,2,52.5854664,39.5152042
28,11,Липецк,Хорошавина 3,3,52.5843218,39.5157736
28,12,Липецк,А.Г. Стаханова 40,3,52.5840496,39.5163208
28,13,Липецк,Хорошавина 2,4,52.5845617,39.5170267
28,14,Липецк,Хорошавина 4,2,52.5850722,39.5165596
28,15,Липецк,А.Г. Стаханова 45,4,52.5833512,39.5182317
28,16,Липецк,А.Г. Стаханова 43,1,52.5837281,39.5189664
28,17,Липецк,Бунина 12,2,52.5817063,39.5186436
28,18,Липецк,Бунина 16,1,52.5808509,39.5193342
28,19,Липецк,Бунина 9,6,52.5798755,39.5192614
28,20,Липецк,Бунина 13,1,52.5797705,39.5203748
28,21,Липецк,Героя России Эдуарда Белана 17,5,52.5802264,39.5173056
28,22,Липецк,А.Г. Стаханова 49,2,52.5822416,39.517339
28,23,Липецк,Катукова 23,6,52.5845105,39.5212179
29,1,Липецк,Героя России Эдуарда Белана 2,2,52.5846338,39.5071751
29,2,Липецк,Леонтия Кривенкова 21,2,52.5847005,39.5062188
29,3,Липецк,Леонтия Кривенкова 23,1,52.5843801,39.5056639
29,4,Липецк,Мистюкова А.П. 10,3,52.5821724,39.5053758
29,5,Липецк,Мистюкова А.П. 14,3,52.5816452,39.5042497
29,6,Липецк,Мистюкова А.П. 12,2,52.5822886,39.5040167
29,7,Липецк,Леонтия Кривенкова 29,4,52.5823614,39.5029861
29,8,Липецк,Мистюкова А.П. 2,1,52.5830905,39.5033407
29,9,Липецк,Мистюкова А.П. 8,1,52.5830905,39.5033407
29,10,Липецк,Леонтия Кривенкова 13А,2,52.5857608,39.5075643
29,11,Липецк,Героя России Эдуарда Белана 1,3,52.5851587,39.5083252
29,12,Липецк,Хорошавина 27,2,52.5854925,39.5091308
29,13,Липецк,Хорошавина 29,4,52.5861705,39.509333
29,14,Липецк,Леонтия Кривенкова 13,4,52.5865151,39.5087859
29,15,Липецк,Хорошавина 23,2,52.585625,39.5101313
29,16,Липецк,Хорошавина 21,2,52.5850592,39.5099212
29,17,Липецк,Хорошавина 19,2,52.5847753,39.510461
29,18,Липецк,Героя России Эдуарда Белана 5,3,52.5841663,39.5101197
29,19,Липецк,Героя России Эдуарда Белана 7,4,52.5836305,39.5110519
29,20,Липецк,Героя России Эдуарда Белана 9,2,52.5832792,39.5119405
29,21,Липецк,Героя России Эдуарда Белана 8,3,52.5830915,39.5097921
29,22,Липецк,Героя России Эдуарда Белана 3,2,52.5847169,39.509162
29,23,Липецк,Леонтия Кривенкова 17,2,52.5867717,39.5108333
29,24,Липецк,Леонтия Кривенкова 15,2,52.5872271,39.5112632
30,1,Липецк,Гагарина 76,4,52.6190645,39.5823088
30,2,Липецк,Гагарина 78,2,52.6194468,39.5818921
30,3,Липецк,Гагарина 74Б,4,52.6186244,39.5833138
30,4,Липецк,Гагарина 74А,2,52.6185265,39.5840391
30,5,Липецк,Военный городок 14,2,52.6161799,39.5825365
30,6,Липецк,Военный городок 16,3,52.6156591,39.5820601
30,7,Липецк,Военный городок 19,3,52.6148371,39.5816123
30,8,Липецк,Космонавтов 10,4,52.6175219,39.5792149
30,9,Липецк,Нестерова 8,5,52.6212633,39.5813439
30,10,Липецк,Нестерова 12,5,52.6218831,39.5823526
30,11,Липецк,Качалова 5,2,52.6225972,39.5801214
30,12,Липецк,Качалова 1,1,52.6232205,39.5787248
30,13,Липецк,Гагарина 59,1,52.6165506,39.5873232
30,14,Липецк,Игнатьева 30,1,52.6129079,39.5879534
31,1,Липецк,Неделина 41,4,52.5980713,39.5755576
31,2,Липецк,Мичурина 28,1,52.5976746,39.5753402
31,3,Липецк,Мичурина 26,2,52.5976414,39.5761618
31,4,Липецк,Мичурина 26А,2,52.5974195,39.5768344
31,5,Липецк,Неделина 37,4,52.597814,39.5770823
31,6,Липецк,Неделина 39,6,52.598326,39.5766532
31,7,Липецк,Неделина 35,8,52.5983665,39.5779393
31,8,Липецк,Неделина 21,4,52.5978334,39.5783687
31,9,Липецк,Мичурина 24,1,52.5972464,39.57798
31,10,Липецк,Мичурина 28Б,2,52.5967433,39.5763461
31,11,Липецк,Мичурина 28В,3,52.596284,39.5757781
31,12,Липецк,Мичурина 32,2,52.5969724,39.5744545
31,13,Липецк,Мичурина 36,3,52.595979,39.5736943
31,14,Липецк,Мичурина 38,2,52.59616,39.5728615
31,15,Липецк,Мичурина 38А,4,52.5955962,39.5721109
31,16,Липецк,Мичурина 42,2,52.5968382,39.5719982
31,17,Липецк,Неделина 53,4,52.5989418,39.5743436
31,18,Липецк,Неделина 51А,4,52.598647,39.5751059
31,19,Липецк,Неделина 51,8,52.5994391,39.5755228
31,20,Липецк,Неделина 55,4,52.6003305,39.5748953
31,21,Липецк,Неделина 59,1,52.6008211,39.574212
31,22,Липецк,Неделина 57,4,52.6003724,39.5736602
31,23,Липецк,Неделина 43,4,52.599811,39.5776529
31,24,Липецк,Неделина 49,9,52.6003219,39.5778141
32,1,Липецк,30 лет Октября 2,2,52.6183819,39.6086343
32,2,Липецк,Гагарина 10,4,52.6182112,39.6093133
32,3,Липецк,Гагарина 15,4,52.6176789,39.6092342
32,4,Липецк,Гагарина 13,2,52.617712,39.6101759
32,5,Липецк,Интернациональная 69,2,52.6173327,39.6106879
32,6,Липецк,Интернациональная 71,2,52.6176291,39.6110677
32,7,Липецк,Гагарина 8,4,52.6182853,39.6106947
32,8,Липецк,Интернациональная 56,2,52.616747,39.6107595
32,9,Липецк,Гагарина 9,3,52.6177647,39.6126441
32,10,Липецк,Гагарина 4,2,52.6184139,39.6156632
32,11,Липецк,30 лет Октября 6,6,52.6192621,39.6085564
32,12,Липецк,Гагарина 17,4,52.6174757,39.6071297
32,13,Липецк,Гагарина 26,2,52.6183159,39.606447
32,14,Липецк,Гагарина 28,3,52.6180976,39.6059639
32,15,Липецк,Гагарина 19,4,52.6175246,39.6057065
32,16,Липецк,Гагарина 30,4,52.6180513,39.6047482
32,17,Липецк,Гагарина 21,3,52.6174825,39.6044413
32,18,Липецк,Вавилова 12,1,52.618761,39.6037869
32,19,Липецк,Вавилова 4,6,52.6189433,39.6044765
33,1,Липецк,Неделина 11,6,52.5979972,39.5816885
33,2,Липецк,Неделина 17,8,52.5980282,39.5805929
33,3,Липецк,Неделина 15,9,52.5987437,39.5808052
33,4,Липецк,Неделина 27,3,52.5991846,39.5801393
33,5,Липецк,Неделина 31,3,52.5998103,39.5796178
33,6,Липецк,Неделина 29,3,52.5994353,39.5793456
33,7,Липецк,Неделина 23,8,52.5984,39.5791691
33,8,Липецк,Неделина 19,1,52.5977005,39.5791216
33,9,Липецк,Неделина 17А,4,52.5970156,39.5800373
33,10,Липецк,Мичурина 20,4,52.5965697,39.5806287
33,11,Липецк,Мичурина 12,6,52.5967223,39.5815618
33,12,Липецк,Мичурина 16А,1,52.5957492,39.5817302
33,13,Липецк,Мичурина 4,8,52.5970394,39.5830398
33,14,Липецк,Мичурина 2,1,52.5975032,39.5834637
33,15,Липецк,Неделина 7,2,52.5980086,39.5831973
33,16,Липецк,Неделина 15А,5,52.5981036,39.5845133
33,17,Липецк,Неделина 18,1,52.5997446,39.5844168
33,18,Липецк,Неделина 16,1,52.6000997,39.5842856
33,19,Липецк,Неделина 20,4,52.5996114,39.5832438
33,20,Липецк,Октябрьская 74,2,52.6016117,39.5831243
33,21,Липецк,Неделина 14,1,52.5989264,39.5860852
33,22,Липецк,Неделина 14А,1,52.5989264,39.5860852
34,1,Липецк,9-й микрорайон 24,8,52.6085615,39.5346441
34,2,Липецк,9-й микрорайон 25,4,52.6083794,39.5338227
34,3,Липецк,9-й микрорайон 23,8,52.6077875,39.5337922
34,4,Липецк,9-й микрорайон 21,2,52.6070076,39.5344128
34,5,Липецк,9-й микрорайон 22,5,52.607508,39.5350184
34,6,Липецк,9-й микрорайон 22 3,4,52.6080803,39.535688
34,7,Липецк,9-й микрорайон 22 2,6,52.6077442,39.536041
34,8,Липецк,9-й микрорайон 22 1,2,52.6072575,39.5364676
34,9,Липецк,9-й микрорайон 20В,8,52.6068013,39.5368015
34,10,Липецк,9-й микрорайон 19,4,52.6061281,39.5374343
34,11,Липецк,9-й микрорайон 20Б,4,52.6068393,39.5358336
34,12,Липецк,9-й микрорайон 18,4,52.6056606,39.5345622
34,13,Липецк,9-й микрорайон 20,2,52.6066479,39.5335689
34,14,Липецк,Московская 75,6,52.6081794,39.5322891
34,15,Липецк,Московская 67,4,52.6087625,39.5324641
34,16,Липецк,Московская 69,1,52.6090683,39.532146
34,17,Липецк,Московская 73,1,52.6090784,39.5315013
34,18,Липецк,Московская 71,1,52.6094444,39.531381
34,19,Липецк,Московская 61Д,4,52.6099431,39.5324455
34,20,Липецк,Московская 65,4,52.6090958,39.5330216
34,21,Липецк,Московская 63,4,52.6092848,39.5338133
34,22,Липецк,Московская 61В,8,52.6100169,39.5337781
34,23,Липецк,Московская 59,1,52.6104262,39.53422
34,24,Липецк,Московская 57,1,52.6108102,39.5341811
34,25,Липецк,Московская 57Б,6,52.6109604,39.5335235
34,26,Липецк,Московская 55,1,52.6105688,39.5348963
34,27,Липецк,Московская 57А,1,52.6109922,39.5349656
34,28,Липецк,Московская 53,5,52.6111102,39.5359314
34,29,Липецк,Московская 53 1,2,52.6117865,39.5356087
34,30,Липецк,Московская 49 1,2,52.6121522,39.5363228
34,31,Липецк,Московская 51,5,52.611461,39.5366549
34,32,Липецк,Московская 49,5,52.6118147,39.537397
34,33,Липецк,Московская 47,1,52.6125541,39.5376744
34,34,Липецк,Московская 45,1,52.6129028,39.5383605
34,35,Липецк,Московская 41,6,52.6136244,39.5392433
34,36,Липецк,Московская 43А,2,52.6115509,39.5394235
34,37,Липецк,Западная 44,2,52.6111136,39.5389163
34,38,Липецк,Бескрайняя 20,2,52.6104955,39.5393513
34,39,Липецк,9-й микрорайон 24 2,4,52.6087028,39.5357028
34,40,Липецк,Вермишева 4,10,52.6043297,39.535482
34,41,Липецк,Вермишева 8,6,52.6041821,39.5334988
34,42,Липецк,Вермишева 25,8,52.6036957,39.5322681
34,43,Липецк,Вермишева 23,5,52.6026589,39.5315473
35,1,Липецк,Меркулова 11,3,52.5892128,39.5437092
35,2,Липецк,Меркулова 15,4,52.5883376,39.5419865
35,3,Липецк,Меркулова 19,4,52.5884074,39.5408803
35,4,Липецк,Меркулова 17,5,52.5891137,39.5411844
35,5,Липецк,Меркулова 29,4,52.5881678,39.5391066
35,6,Липецк,П.И.Смородина 2,9,52.5930777,39.5400379
35,7,Липецк,15-й микрорайон 16,6,52.5951785,39.5414754
35,8,Липецк,9-й микрорайон 15,4,52.5973511,39.5436258
35,9,Липецк,15-й микрорайон 19,5,52.5970182,39.5440223
35,10,Липецк,15-й микрорайон 5,6,52.5955585,39.5460411
35,11,Липецк,15-й микрорайон 7,6,52.5945269,39.5452123
35,12,Липецк,15-й микрорайон 3,6,52.5965473,39.5481662
35,13,Липецк,Папина 37,4,52.5897932,39.5498392
35,14,Липецк,Папина 39,4,52.589286,39.5505618
35,15,Липецк,Меркулова 3,5,52.5895574,39.5465214
35,16,Липецк,60 лет СССР 2,6,52.5844994,39.5430488
36,1,Липецк,Барашева 7,4,52.6023206,39.5875402
36,2,Липецк,Барашева 5,4,52.6017249,39.586767
36,3,Липецк,Октябрьская 67,4,52.6012222,39.5855518
36,4,Липецк,Первомайская 65,4,52.6027554,39.5857424
36,5,Липецк,Л.Толстого 7,4,52.6051601,39.5866557
36,6,Липецк,Л.Толстого 44,1,52.6063194,39.5871399
36,7,Липецк,Л.Толстого 42,1,52.6061728,39.5875091
36,8,Липецк,Ворошилова 11,4,52.6065545,39.588244
36,9,Липецк,Л.Толстого 40,4,52.6059133,39.5887192
36,10,Липецк,Малые Ключи 2,4,52.6062498,39.5909457
36,11,Липецк,Кузнечная 10,2,52.6083413,39.594219
36,12,Липецк,Октябрьская 58,5,52.6019147,39.5922628
36,13,Липецк,Коммунальная 10,2,52.5998754,39.590699
36,14,Липецк,Коммунальная 14А,1,52.5989056,39.5884623
36,15,Липецк,Л.Толстого 9,4,52.6053916,39.5852909
36,16,Липецк,Октябрьская 30,2,52.60221,39.5986809
37,1,Липецк,Звездная 3 2,8,52.6062046,39.5508107
37,2,Липецк,Звездная 2 1,8,52.6073597,39.551134
37,3,Липецк,Космонавтов 37 7,6,52.6071253,39.5494459
37,4,Липецк,Космонавтов 39 4,4,52.6069675,39.5487618
37,5,Липецк,Космонавтов 39 3,4,52.6069654,39.5481013
37,6,Липецк,Космонавтов 37 2,1,52.6085098,39.5484072
37,7,Липецк,Космонавтов 37 3,1,52.6083126,39.549047
37,8,Липецк,Космонавтов 41 2,6,52.6065714,39.5465436
37,9,Липецк,Звездная 8 2,6,52.6035711,39.551605
37,10,Липецк,Звездная 4 3,9,52.6041208,39.5538733
37,11,Липецк,Звездная 4 2,5,52.6055471,39.5536702
38,1,Липецк,А.Г. Стаханова 35,5,52.5882173,39.5252652
38,2,Липецк,А.Г. Стаханова 33,3,52.5889355,39.5263071
38,3,Липецк,60 лет СССР 35,4,52.5887044,39.527178
38,4,Липецк,60 лет СССР 31,8,52.5880301,39.5271907
38,5,Липецк,60 лет СССР 33,6,52.5891469,39.5281231
38,6,Липецк,А.Г. Стаханова 24,4,52.5911383,39.5275219
38,7,Липецк,А.Г. Стаханова 20,3,52.5926769,39.5267045
38,8,Липецк,А.Г. Стаханова 18,5,52.593008,39.5278391
38,9,Липецк,60 лет СССР 41,8,52.5910113,39.5242012
38,10,Липецк,А.Г. Стаханова 26,5,52.5896421,39.5249988
38,11,Липецк,А.Г. Стаханова 28,3,52.5884329,39.5233454
38,12,Липецк,А.Г. Стаханова 30,2,52.588762,39.5225466
38,13,Липецк,А.Г. Стаханова 34,3,52.5876545,39.5221937
38,14,Липецк,А.Г. Стаханова 39,3,52.5863744,39.5228036
38,15,Липецк,Катукова 24,7,52.5858339,39.5227653
38,16,Липецк,А.Г. Стаханова 37,4,52.5871173,39.5236143
38,17,Липецк,Есенина 9,5,52.5863705,39.5242287
38,18,Липецк,Катукова 20,7,52.5848807,39.5245285
38,19,Липецк,60 лет СССР 43,8,52.5920686,39.5220672
39,1,Липецк,Московская 137,2,52.5976241,39.5135904
39,2,Липецк,Московская 135,6,52.596817,39.5141992
39,3,Липецк,Московская 133,2,52.5973934,39.5152742
39,4,Липецк,Московская 129,2,52.5980438,39.515885
39,5,Липецк,Московская 131,2,52.5975107,39.5162561
39,6,Липецк,Московская 121,2,52.5992696,39.5139447
39,7,Липецк,Московская 115,4,52.5998785,39.5143962
39,8,Липецк,Московская 111,2,52.6005902,39.5154769
39,9,Липецк,Московская 119,4,52.598829,39.5130986
39,10,Липецк,Московская 141,9,52.5985595,39.5122941
39,11,Липецк,Московская 143,3,52.5980753,39.5121109
39,12,Липецк,Московская 145,3,52.5975748,39.5116009
39,13,Липецк,Московская 147,2,52.5970498,39.5121339
39,14,Липецк,Московская 139,2,52.5974824,39.5125883
39,15,Липецк,Московская 151,1,52.5985007,39.5111717
39,16,Липецк,Московская 153,1,52.597938,39.5108846
